Wavelength	 Refractive Index	
766.0	 1.7240300104771964	
767.0	 1.723704824671684	
768.0	 1.7237046850656683	
769.0	 1.7235549598017597	
770.0	 1.723604589711627	
771.0	 1.7236816508187283	
772.0	 1.7235615911237545	
773.0	 1.7235941891233688	
774.0	 1.7234492060000954	
775.0	 1.7233733265826603	
776.0	 1.7230182005950079	
777.0	 1.7233722794766915	
778.0	 1.7233914065538298	
779.0	 1.7230459864519168	
780.0	 1.7233551767094555	
781.0	 1.7231466559945146	
782.0	 1.723039493784058	
783.0	 1.722800025199047	
784.0	 1.7230624623769686	
785.0	 1.722811056467756	
786.0	 1.7228662122959792	
787.0	 1.7230663719092099	
788.0	 1.723261493985555	
789.0	 1.7225746446635628	
790.0	 1.7227081431608267	
791.0	 1.7233021227057037	
792.0	 1.7224136298621069	
793.0	 1.7229364474731297	
794.0	 1.7223204809015724	
795.0	 1.7222858461698587	
796.0	 1.7222095229177563	
797.0	 1.7227350936031358	
798.0	 1.7221324298686638	
799.0	 1.7218601466497094	
800.0	 1.7219635734421275	
801.0	 1.7219096606053665	
802.0	 1.7223135679410975	
803.0	 1.7220722346643773	
804.0	 1.7223205507101156	
805.0	 1.7218203394507885	
806.0	 1.7219227897062797	
807.0	 1.721455838238332	
808.0	 1.7217104832010959	
809.0	 1.721623252259095	
810.0	 1.7216821281477885	
811.0	 1.7220764944472629	
812.0	 1.722045907667792	
813.0	 1.721593080606838	
814.0	 1.7216340776775025	
815.0	 1.7219645511302906	
816.0	 1.72116177932212	
817.0	 1.7212852730714954	
818.0	 1.721182664590954	
819.0	 1.721185249043353	
820.0	 1.721227368464234	
821.0	 1.722024119662552	
822.0	 1.7210616819314095	
823.0	 1.7211126739558045	
824.0	 1.7208886527023275	
825.0	 1.7214580732544895	
826.0	 1.7209491475390943	
827.0	 1.7206897668499308	
828.0	 1.721015159759709	
829.0	 1.7210163472723021	
830.0	 1.7207300758507467	
831.0	 1.7204244284518635	
832.0	 1.720871118782426	
833.0	 1.7210304576549977	
834.0	 1.7206847369250609	
835.0	 1.7208878144348705	
836.0	 1.7213189397377848	
837.0	 1.720650435441048	
838.0	 1.721478817066761	
839.0	 1.7205204220812367	
840.0	 1.7209592764727424	
841.0	 1.7200797659454596	
842.0	 1.7203480648348477	
843.0	 1.7207629793897552	
844.0	 1.7205292248503448	
845.0	 1.7206787988068808	
846.0	 1.7206178102885537	
847.0	 1.720527827585133	
848.0	 1.7208394736815604	
849.0	 1.7203889366937841	
850.0	 1.7199999709894183	
851.0	 1.7202886076577273	
852.0	 1.7204468551417822	
853.0	 1.7204148568937923	
854.0	 1.7206575612228	
855.0	 1.7202182498612033	
856.0	 1.72037496345827	
857.0	 1.7200845871121788	
858.0	 1.7202798741471341	
859.0	 1.7207849149063499	
860.0	 1.720285533475	
861.0	 1.7203166246205646	
862.0	 1.720238372198196	
863.0	 1.7206401658774981	
864.0	 1.720616971952169	
865.0	 1.720390124413397	
866.0	 1.7199354070367412	
867.0	 1.7207664723094371	
868.0	 1.7202072803470294	
869.0	 1.7203746839922722	
870.0	 1.720394525971088	
871.0	 1.7201560655245252	
872.0	 1.719898862172558	
873.0	 1.7202465468592907	
874.0	 1.7202655511382594	
875.0	 1.720147681041451	
876.0	 1.7205328577250765	
877.0	 1.720338353333771	
878.0	 1.7204314848345137	
879.0	 1.720116308892929	
880.0	 1.7200735473013873	
